user_id,group_id,rest_id,avialble_rest,sort_pop,sort_fit,sort_sim,fit_score,sim_score,c1_fit,c2_fit,c3_fit,c4_fit,c5_fit,fit_rank,sim_rank,pop_rank,tip,category,dish,price,time
14720,36877,18,-1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,2,5,0,13,str,2023-06-15 23:39:58
14720,36883,29,0,0,0,1,0,1,0,0,0,0,0,-1,26,-1,3,1,99,str,2023-06-15 23:47:13
14720,36888,29,-1,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,1,3,1,99,str,2023-06-16 00:01:42
14720,36951,18,1,0,1,0,1,1,1,1,1,1,1,1,-1,-1,5,0,13,str,2023-06-16 11:12:18
14720,36951,29,0,0,1,0,0,1,0,0,0,0,0,4,-1,-1,3,1,99,str,2023-06-16 11:12:25
14748,37199,28,-1,0,0,1,0,1,0,0,0,0,-1,-1,2,-1,4,0,18,str,2023-06-16 15:41:53
14748,37199,4,-1,0,0,1,0,1,0,0,0,0,-1,-1,4,-1,4,0,61,str,2023-06-16 15:42:12
14750,37221,18,-1,0,1,0,1,1,1,1,1,1,-1,1,-1,-1,5,0,13,str,2023-06-16 22:30:37
14750,37221,30,-1,0,1,0,1,1,1,1,1,1,-1,3,-1,-1,5,0,9,str,2023-06-16 22:30:40
14750,37221,29,-1,0,1,0,0,1,0,0,0,0,-1,4,-1,-1,3,1,99,str,2023-06-16 22:30:48
14750,37221,24,-1,0,1,0,0,1,0,0,0,0,-1,7,-1,-1,4,0,21,str,2023-06-16 22:30:52
14750,37221,2,-1,0,1,0,0,1,0,0,0,0,-1,9,-1,-1,4,0,11,str,2023-06-16 22:30:57
14750,37221,7,-1,0,1,0,0,1,0,0,0,0,-1,11,-1,-1,4,0,20,str,2023-06-16 22:31:09
14750,37221,25,-1,0,1,0,0,1,0,0,0,0,-1,15,-1,-1,4,0,32,str,2023-06-16 22:31:16
14750,39368,29,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,99,str,2023-06-20 12:25:58
